face,Dbeard,Tbeard,Score
1,A,a,9
1,A,b,8
1,A,c,3
1,A,d,5
1,A,e,6
1,A,f,7
1,A,g,4
1,A,h,10
1,A,i,1
1,A,j,2
1,B,a,10
1,B,b,0
1,B,c,0
1,B,d,9
1,B,e,6
1,B,f,7
1,B,g,0
1,B,h,0
1,B,i,1
1,B,j,0
1,C,a,0
1,C,b,4
1,C,c,8
1,C,d,9
1,C,e,0
1,C,f,0
1,C,g,0
1,C,h,10
1,C,i,1
1,C,j,5
1,D,a,9
1,D,b,0
1,D,c,0
1,D,d,0
1,D,e,0
1,D,f,0
1,D,g,0
1,D,h,10
1,D,i,0
1,D,j,0
1,E,a,10
1,E,b,0
1,E,c,0
1,E,d,0
1,E,e,0
1,E,f,0
1,E,g,0
1,E,h,0
1,E,i,0
1,E,j,0
1,F,a,0
1,F,b,0
1,F,c,10
1,F,d,8
1,F,e,0
1,F,f,0
1,F,g,0
1,F,h,0
1,F,i,2
1,F,j,0
2,A,a,3
2,A,b,8
2,A,c,9
2,A,d,6
2,A,e,7
2,A,f,7
2,A,g,8
2,A,h,5
2,A,i,3
2,A,j,10
2,B,a,7
2,B,b,0
2,B,c,0
2,B,d,6
2,B,e,8
2,B,f,10
2,B,g,0
2,B,h,0
2,B,i,3
2,B,j,0
2,C,a,0
2,C,b,8
2,C,c,9
2,C,d,7
2,C,e,0
2,C,f,0
2,C,g,0
2,C,h,5
2,C,i,3
2,C,j,10
2,D,a,8
2,D,b,0
2,D,c,0
2,D,d,0
2,D,e,0
2,D,f,0
2,D,g,0
2,D,h,10
2,D,i,0
2,D,j,0
2,E,a,10
2,E,b,0
2,E,c,0
2,E,d,0
2,E,e,0
2,E,f,0
2,E,g,0
2,E,h,0
2,E,i,0
2,E,j,0
2,F,a,0
2,F,b,0
2,F,c,10
2,F,d,8
2,F,e,0
2,F,f,0
2,F,g,0
2,F,h,0
2,F,i,3
2,F,j,0
3,A,a,1
3,A,b,9
3,A,c,7
3,A,d,3
3,A,e,8
3,A,f,9
3,A,g,10
3,A,h,1
3,A,i,6
3,A,j,7
3,B,a,3
3,B,b,10
3,B,c,8
3,B,d,4
3,B,e,6
3,B,f,9
3,B,g,0
3,B,h,0
3,B,i,7
3,B,j,0
3,C,a,0
3,C,b,10
3,C,c,8
3,C,d,0
3,C,e,0
3,C,f,0
3,C,g,0
3,C,h,2
3,C,i,9
3,C,j,7
3,D,a,7
3,D,b,0
3,D,c,0
3,D,d,0
3,D,e,0
3,D,f,0
3,D,g,0
3,D,h,6
3,D,i,0
3,D,j,0
3,E,a,5
3,E,b,0
3,E,c,0
3,E,d,0
3,E,e,0
3,E,f,0
3,E,g,0
3,E,h,0
3,E,i,0
3,E,j,0
3,F,a,0
3,F,b,0
3,F,c,9
3,F,d,8
3,F,e,0
3,F,f,0
3,F,g,0
3,F,h,0
3,F,i,10
3,F,j,0
4,A,a,9
4,A,b,8
4,A,c,3
4,A,d,5
4,A,e,6
4,A,f,7
4,A,g,4
4,A,h,10
4,A,i,1
4,A,j,2
4,B,a,10
4,B,b,0
4,B,c,0
4,B,d,9
4,B,e,6
4,B,f,7
4,B,g,0
4,B,h,0
4,B,i,8
4,B,j,0
4,C,a,0
4,C,b,8
4,C,c,7
4,C,d,6
4,C,e,0
4,C,f,0
4,C,g,0
4,C,h,10
4,C,i,3
4,C,j,9
4,D,a,4
4,D,b,0
4,D,c,0
4,D,d,0
4,D,e,0
4,D,f,0
4,D,g,0
4,D,h,10
4,D,i,0
4,D,j,0
4,E,a,10
4,E,b,0
4,E,c,0
4,E,d,0
4,E,e,0
4,E,f,0
4,E,g,0
4,E,h,0
4,E,i,0
4,E,j,0
4,F,a,0
4,F,b,0
4,F,c,10
4,F,d,8
4,F,e,0
4,F,f,0
4,F,g,0
4,F,h,0
4,F,i,4
4,F,j,0
5,A,a,6
5,A,b,10
5,A,c,7
5,A,d,7
5,A,e,6
5,A,f,8
5,A,g,3
5,A,h,9
5,A,i,8
5,A,j,6
5,B,a,8
5,B,b,0
5,B,c,0
5,B,d,7
5,B,e,5
5,B,f,9
5,B,g,0
5,B,h,0
5,B,i,10
5,B,j,0
5,C,a,0
5,C,b,10
5,C,c,8
5,C,d,4
5,C,e,0
5,C,f,0
5,C,g,0
5,C,h,9
5,C,i,8
5,C,j,7
5,D,a,6
5,D,b,0
5,D,c,0
5,D,d,0
5,D,e,0
5,D,f,0
5,D,g,0
5,D,h,10
5,D,i,0
5,D,j,0
5,E,a,10
5,E,b,0
5,E,c,0
5,E,d,0
5,E,e,0
5,E,f,0
5,E,g,0
5,E,h,0
